FID,osm_id,man_made,operator,ref,name,owner,location,colour,ref-FR-PTT,ref-FR-Orange,street_cabinet,telecom,telecom-medium,ref-FR-SFR,description,note,source,osm_version,osm_timestamp,the_geom,osm_original_geom,osm_type
telecom_exchange_point.-18542164,-18542164,telephone_office,Orange,,Central téléphonique,Orange,,,,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,1,2025-01-12T15:36:56Z,POINT (283659.8417784109 6247004.5506410925),"SRID=3857;POLYGON((283616.69282930926 6247008.872944734,283617.4164059994 6246964.9014744405,283636.05128875823 6246965.375012136,283637.6876852729 6246965.408836258,283637.1756156152 6246988.443094771,283644.2555352297 6246988.612215841,283644.31119497505 6246983.7584424075,283697.64436301414 6246984.384190044,283697.28814064356 6247015.333387677,283697.2213489491 6247021.35411904,283697.14342530555 6247027.713098387,283697.0432377638 6247036.947156675,283694.20459074865 6247036.913332271,283678.1745840744 6247036.727298029,283643.71006972477 6247036.338317359,283644.1330837898 6246998.945519766,283636.94184468454 6246998.962431893,283636.7080737539 6247009.228099851,283616.69282930926 6247008.872944734))",way
telecom_exchange_point.-15422109,-15422109,telephone_office,Orange,,Central téléphonique Observatoire,,,,92048OBS,,,exchange,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,1,2023-02-02T13:43:21Z,POINT (247766.30265544893 6244369.992016727),"SRID=3857;POLYGON((247736.07210538146 6244360.641542814,247742.79580262533 6244353.489942792,247748.98516631348 6244347.116063227,247753.70511272317 6244342.652659699,247790.6075239211 6244378.985508995,247792.78938594062 6244381.115778608,247794.6261575387 6244385.49466783,247773.13036386657 6244393.559268959,247768.46607720226 6244395.300682789,247761.56426877316 6244388.537912639,247768.2657021189 6244382.569772462,247745.75690108046 6244360.506287911,247741.08148246718 6244365.32474515,247740.3022460316 6244364.699190901,247736.07210538146 6244360.641542814))",way
telecom_exchange_point.-8348819,-8348819,telephone_office,Orange,,,Orange,,,76351JAU,,,exchange,copper,,,,,2,2020-02-09T21:47:00Z,POINT (20197.0051779328 6360343.831204222),"SRID=3857;POLYGON((20143.25072709377 6360355.93747526,20145.610700298592 6360320.935440914,20207.059059216477 6360325.7349276785,20252.121189089594 6360336.585206092,20245.26390845673 6360370.55883844,20204.431919233757 6360360.291313448,20159.469976902354 6360357.085928419,20159.592428342225 6360356.22887381,20154.03758575164 6360355.6974999895,20154.004189904404 6360356.777388748,20143.25072709377 6360355.93747526),(20156.03020463684 6360327.997543818,20161.585047227425 6360328.546056914,20161.81881815809 6360324.672183942,20156.263975567508 6360324.140812125,20156.03020463684 6360327.997543818))",way
telecom_exchange_point.-3252890,-3252890,telephone_office,Orange,GRA,Central téléphonique,Orange,,,,,,exchange,copper,,,,,4,2020-02-09T19:10:47Z,POINT (276175.86564581894 6241953.612425961),"SRID=3857;POLYGON((276135.4330547001 6241934.465160219,276159.63391199854 6241924.98313017,276164.35385840817 6241923.090105835,276192.53995347704 6241911.867184521,276195.4676560849 6241918.763194651,276200.5660887632 6241931.558012626,276205.9316882195 6241944.572576478,276203.1598328987 6241945.586699177,276204.5624584827 6241949.220639841,276208.85939082736 6241959.6830172455,276210.19522471685 6241963.131041059,276214.4476292652 6241973.745554551,276206.7777163495 6241976.889346129,276195.30067684874 6241981.605035684,276176.2873078212 6241988.957460115,276160.14598165615 6241995.853532968,276135.4330547001 6241934.465160219),(276159.34448132245 6241943.186608988,276170.7547291288 6241972.224365496,276174.49506401946 6241970.93980606,276176.17598833045 6241971.328554289,276176.76598163164 6241971.818715123,276177.4784263727 6241973.238491503,276183.9349568387 6241970.703176712,276184.43589454726 6241970.50035156,276178.86992000765 6241957.130804439,276187.1966179189 6241953.767293381,276179.8161356794 6241935.293359426,276170.78812497604 6241938.758275353,276159.34448132245 6241943.186608988))",way
telecom_exchange_point.-2677297,-2677297,telephone_office,Orange,,LH,,,,22113LZI,,,exchange,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,5,2019-08-23T13:20:33Z,POINT (-384698.34691049583 6233819.494212249),"SRID=3857;POLYGON((-384743.4259551292 6233794.01598361,-384731.603825207 6233790.672594884,-384680.2076163078 6233775.306532328,-384680.68629011814 6233773.685498778,-384676.6119967551 6233772.4528380595,-384661.1942472803 6233767.826140517,-384656.37411332893 6233785.573085321,-384674.83088490245 6233791.736400244,-384674.22975965217 6233794.151070052,-384677.53594852873 6233794.995360359,-384671.0126263682 6233816.592334914,-384666.8381454635 6233832.026015791,-384663.2759217581 6233831.502553506,-384658.56710729754 6233848.743054102,-384734.96567382896 6233870.677884652,-384739.8637314238 6233853.79194387,-384729.4553590347 6233850.617390757,-384719.93754257186 6233847.713013416,-384722.8095854343 6233837.68278769,-384725.2363503336 6233829.189188313,-384730.51289419725 6233810.732947017,-384738.75053651596 6233813.096964704,-384743.4259551292 6233794.01598361),(-384718.7909518167 6233807.777925839,-384709.4735104373 6233840.300101342,-384692.64200342936 6233835.470736141,-384701.9594448088 6233802.948579149,-384718.7909518167 6233807.777925839))",way
telecom_exchange_point.-2466576,-2466576,telephone_office,Orange,,Central téléphonique,Orange,,,92044PER,,,exchange,copper,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,3,2020-02-09T19:10:47Z,POINT (255406.1452736745 6257345.4765378935),"SRID=3857;POLYGON((255367.33489383457 6257376.730990666,255369.70599898847 6257372.260715158,255394.16289111576 6257325.441494208,255399.98490048424 6257328.878845925,255395.88834322305 6257336.4477977315,255403.736367324 6257340.443936089,255417.2950813026 6257314.350541288,255410.82741888752 6257310.337482517,255410.3042172808 6257308.830469375,255420.2005200123 6257293.845016228,255433.62565060196 6257302.531496009,255435.76298482518 6257303.919978983,255436.0301516031 6257303.4966609785,255442.0859319023 6257307.374254689,255441.80763317525 6257307.831438343,255447.05078119168 6257311.184119229,255440.00425742444 6257324.306999121,255434.7054496627 6257334.212670316,255429.41777384997 6257331.486492986,255397.3688924506 6257393.071222363,255393.21667544404 6257390.80221421,255390.68972300302 6257389.447582767,255386.93825616327 6257387.398703121,255372.12163193867 6257379.338652468,255367.33489383457 6257376.730990666),(255421.85918042515 6257316.263941289,255426.27856420964 6257319.007046468,255428.73872495617 6257315.010918234,255424.27481337535 6257312.2847470855,255421.85918042515 6257316.263941289))",way
telecom_exchange_point.-1810301,-1810301,,Orange,,Orange Marcadet,,,,75118MAR,,,exchange,copper,,,,,5,2024-11-06T17:29:59Z,POINT (259227.14890179754 6256734.594479622),"SRID=3857;POLYGON((259200.81080243533 6256710.85528451,259213.6236758256 6256707.011827106,259229.85405758326 6256702.152480373,259234.69645543274 6256715.122032221,259240.27356192152 6256730.08952928,259243.7355980852 6256739.401899408,259254.77849157187 6256769.1168944,259227.6944594619 6256759.906081379,259220.62567179656 6256757.501789923,259214.73687073356 6256743.668661504,259213.14500201523 6256739.655873284,259209.08184060125 6256730.309639732,259207.13374951237 6256725.704253078,259200.81080243533 6256710.85528451),(259220.18039383335 6256734.0853813905,259223.07470059398 6256741.315169447,259237.84679702224 6256746.479307554,259238.4590542216 6256746.140675449,259236.01002542416 6256739.164857131,259234.88569856714 6256739.53735214,259229.25293233298 6256724.078823098,259230.78914130593 6256723.469286934,259229.2974601293 6256719.676618458,259221.2824567922 6256722.097830727,259224.15449965463 6256731.173150008,259223.5867702516 6256733.052555027,259220.18039383335 6256734.0853813905))",way
telecom_exchange_point.-1708287,-1708287,,Orange,,Central téléphonique,,,,75112DID,,,exchange,copper,,,,,7,2022-07-20T16:34:32Z,POINT (266445.56123640493 6247829.656348165),"SRID=3857;POLYGON((266403.6382666724 6247812.42410711,266415.91680650687 6247808.297152627,266451.7505505932 6247796.2545756195,266468.47073811037 6247790.6392225325,266478.54515202716 6247819.646282299,266475.06085196533 6247835.883513629,266484.45621698827 6247842.158535326,266476.7974360217 6247853.03412302,266473.6582263813 6247851.021377122,266476.2297066187 6247847.6216981625,266474.2036918862 6247846.251678668,266467.23509176256 6247856.602942553,266471.97730207036 6247859.850400497,266469.37242598576 6247863.554533736,266467.23509176256 6247866.480630998,266462.103263237 6247873.804335514,266413.3230623714 6247841.143706706,266403.6382666724 6247812.42410711),(266434.0730154553 6247834.428927055,266453.04185668647 6247847.11428351,266455.19032285875 6247844.374244905,266459.1310328328 6247847.148111149,266466.05510516017 6247836.7630312145,266467.3241473552 6247825.769067959,266462.2145827278 6247811.324713304,266456.62634429 6247813.269794759,266456.0363509887 6247811.696815808,266436.0211065441 6247818.496146259,266436.5554400999 6247819.916902565,266436.09903018764 6247820.069126472,266436.64449569257 6247822.234088956,266436.86713467416 6247824.585103538,266436.6778915398 6247827.545014901,266435.72054391896 6247831.316789172,266434.0730154553 6247834.428927055))",way
telecom_exchange_point.-1261089,-1261089,telephone_office,Orange,,Central téléphonique,Orange,,,75117CAR,,,exchange,copper,,,,,4,2024-10-02T00:55:04Z,POINT (256502.89244504564 6254768.99248321),"SRID=3857;POLYGON((256444.25077971778 6254778.629017449,256445.24152318583 6254777.207093274,256447.36772546 6254774.44788395,256449.61637917405 6254771.536326615,256460.00248766504 6254758.0957784215,256463.8875378937 6254752.9836359685,256467.72806032613 6254747.803786168,256478.0696410208 6254734.39713081,256480.35169058206 6254731.400949372,256482.56694844886 6254728.574044694,256483.40184462979 6254727.422970004,256492.47438312945 6254733.889303376,256494.48926591285 6254731.231673617,256496.32603751088 6254732.48431429,256498.22960080343 6254729.758974685,256487.69877697443 6254721.97229493,256497.3613087753 6254709.46283962,256504.4634922879 6254714.69344859,256518.25597719714 6254724.9515454685,256556.3272430485 6254752.94978073,256563.40716266292 6254758.044995531,256554.39028390867 6254770.639160895,256547.44394768318 6254765.899419046,256543.51436965817 6254771.383977713,256550.39391418916 6254776.276071618,256535.54389411738 6254796.97863181,256520.83858938358 6254817.511965142,256512.73453045383 6254828.802780535,256498.24073275254 6254818.307569334,256507.11289616872 6254806.102670727,256502.22597052294 6254802.564776919,256497.35017682618 6254808.912673565,256499.10902478072 6254810.317675333,256497.50602411325 6254812.484425502,256495.6024608207 6254811.147134313,256493.16456397236 6254814.600392999,256488.75631213697 6254811.417978085,256485.962192918 6254809.251228185,256471.02311725362 6254798.315920759,256453.84651982418 6254785.73864191,256451.38635907767 6254783.944307556,256444.25077971778 6254778.629017449),(256482.58921234703 6254766.187189006,256491.14968118898 6254772.399637119,256509.60645276253 6254747.532944434,256499.44298325313 6254740.034017406,256496.10339852932 6254744.672179166,256497.7063991967 6254745.840183803,256482.58921234703 6254766.187189006),(256505.3763121124 6254782.793225339,256520.31538777685 6254793.525380314,256521.1057561615 6254792.425079887,256519.88124176275 6254791.409418085,256521.7848050553 6254788.650204127,256523.16516674118 6254789.513516373,256538.28235359085 6254768.590914982,256526.25984858518 6254759.653120446,256524.57892427422 6254761.938351106,256521.6734855645 6254759.95781783,256505.3763121124 6254782.793225339))",way
telecom_exchange_point.-1111016,-1111016,telephone_office,Orange,,Central téléphonique EYR,Orange,,,,,,exchange,copper,,,,,4,2020-02-09T21:47:00Z,POINT (12947.442194846191 6359092.360470111),"SRID=3857;POLYGON((12924.114957455507 6359106.256501904,12927.621521415494 6359089.066566655,12932.30807197789 6359090.009184325,12934.712572979028 6359081.594183053,12935.258038483911 6359079.571841849,12930.204133601897 6359078.303594223,12929.825647333202 6359078.183624865,12932.263544181573 6359066.426635898,12932.642030450272 6359066.546605089,12942.827763857857 6359069.631527757,12943.206250126552 6359069.648666218,12951.610871681443 6359072.236574448,12968.331059198594 6359077.189593089,12963.143570927628 6359111.329510461,12958.234381383643 6359116.076889492,12924.114957455507 6359106.256501904),(12937.26178931819 6359091.380264761,12944.56434791423 6359093.162669663,12946.768473831937 6359082.708184777,12939.276672101552 6359080.702981785,12937.26178931819 6359091.380264761))",way
