IdSite (ne pas modifier);IdSiteTechnique (ne pas modifier);Reference metier;Libelle;Raison sociale;Siret;Adresse;Pays;CodeImb;Ndi;Type Ndi;Tags (tag 1, tag 2,...);"Merci de bien vouloir préciser le nom de la zone de tarification pour chaque accès. Cette dénomination devra être reportée dans les onglets ""Abonnements FTTO"", ""Abonnements FTTE"" et ""Frais de prestations"".
Dans le cas où vous seriez dans l'incapacité de proposer un tarif pour un accès, merci d'indiquer ""Incapacité"".";Unnamed: 3;Latitude;Longitude
160176;92671;;SALN.S1;;;;FR;;;;EDF AO;DPN;;45.405329;4.755246
160175;92670;;QUINSH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;43.69869748886835;6.050729893788097
160174;92669;;P.VARH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;43.854439;7.195276
160173;92668;;GEDREH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;42.785726;0.018609
160172;92667;;CARLAH.B03;;;;FR;;;;EDF AO;EDF HYDRO;;43.63090605715455;2.2876898177714473
160171;92666;;BROMMH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;44.80766118344141;2.714734119152471
160170;92665;;SSJU5H.B01;;;;FR;;;;EDF AO;EDF HYDRO;;43.212223;1.119698
160169;92664;;MATEMH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;42.579615567214454;2.109958156097069
160168;92663;;BAZACH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;43.604706;1.432377
160167;92662;;BANCAH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;44.003256;7.138130
160166;92661;;B.CURH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;47.406462;3.817114
160165;92660;;LABA5H.B01;;;;FR;;;;EDF AO;EDF HYDRO;;42.99625874970474;1.6139645446244766
160164;92659;;F.ABEH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;42.81728;-0.56240
160163;92658;;CHALAH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;45.669468;3.644039
160162;92657;;LAZERH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;44.34587;5.86759
160161;92656;;LACOUH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;42.93775;1.17676
160160;92655;;BIOGEH.B02;;;;FR;;;;EDF AO;EDF HYDRO;;46.311787;6.562232
160159;92654;;CROUXH.U01;;;;FR;;;;EDF AO;EDF HYDRO;;43.961830;2.785420
160158;92653;;CHATRH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;45.979879;1.577383
160157;92652;;CAMBEH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;44.654676654999854;2.573526490735423
160156;92651;;B.MONH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;45.03397;4.919981
160155;92650;;AUCUNH.B02;;;;FR;;;;EDF AO;EDF HYDRO;;42.951990501911226;-0.16726100969005894
160154;92649;;ALRANH.U02;;;;FR;;;;EDF AO;EDF HYDRO;;44.088026;3.063912
160153;92648;;A.NORH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;45.262603;4.004175
160152;92647;;B.MONH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;45.0199751566639;4.942664769562587
160151;92646;;ARGENH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;44.852000;6.582722
160150;92645;;MTFERH.B02;;;;FR;;;;EDF AO;EDF HYDRO;;45.832221;2.85311
160149;92644;;CAMP5H.S01;;;;FR;;;;EDF AO;EDF HYDRO;;43.028077;0.171643
160148;92643;;PALN.SD2;;;;FR;;;;EDF AO;DPN;;49.853722;0.712478
160147;92642;;CRUN.SD2;;;;FR;;;;EDF AO;DPN;;44.600533;4.804124
160146;92641;;RENART.S01;;;;FR;;;;EDF AO;DTEAM;;48.37488637554868;2.8438130238971486
160145;92640;;BREVIH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;45.50388519238788;6.925281131335059
160144;92639;;TRIN.S1;;;;FR;;;;EDF AO;DPN;;44.326163;4.729734
160143;92638;;FESD.S1;;;;FR;;;;EDF AO;DP2D;;47.90478636962378;7.5607237533459575
160142;92637;;PALN.S1;;;;FR;;;;EDF AO;DPN;;49.85833172672017;0.6350540451110134
160141;92636;;GOLN.S1;;;;FR;;;;EDF AO;DPN;;44.10544185735542;0.8459771401444298
160140;92635;;BAROET.S01;;;;FR;;;;EDF AO;DTEAM;;50.662644;3.075145
160139;92634;;VELHUH.U01;;;;FR;;;;EDF AO;EDF HYDRO;;45.758963;4.855993
160138;92633;;SISTEH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;44.211544;5.921827
160137;92632;;MTEZIH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;44.73747245059322;2.6434999531815597
160136;92631;;DAMN.S1;;;;FR;;;;EDF AO;DPN;;47.73260958888363;2.5178020839482533
160135;92630;;CIVN.S1;;;;FR;;;;EDF AO;DPN;;46.46184862039044;0.6489888269771557
160134;92629;;CHON.S1;;;;FR;;;;EDF AO;DPN;;50.09035082961692;4.789598855212924
160133;92628;;CHBN.S1;;;;FR;;;;EDF AO;DPN;;47.227773551061055;0.16844507422496388
160132;92627;;BELN.S1;;;;FR;;;;EDF AO;DPN;;47.50885169706019;2.8757187262679853
160131;92626;;REVI5H.S01;;;;FR;;;;EDF AO;EDF HYDRO;;49.92822529798334;4.617602641217044
160130;92625;;BORTH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;45.412391;2.500149
160129;92624;;VELHUT.S01;;;;FR;;;;EDF AO;DTEAM;;45.758963;4.855993
160128;92623;;FESD.SD1;;;;FR;;;;EDF AO;DP2D;;47.933953;7.568142
160127;92622;;FLAN.SD2;;;;FR;;;;EDF AO;DPN;;49.550925097789474;-1.85661325075966
160126;92621;;DAMN.SD4;;;;FR;;;;EDF AO;DPN;;47.743920;2.512796
160125;92620;;DAMN.SD3;;;;FR;;;;EDF AO;DPN;;47.725286;2.500121
160124;92619;;DAMN.SD2;;;;FR;;;;EDF AO;DPN;;47.727412;2.533343
160123;92618;;DAMN.SD1;;;;FR;;;;EDF AO;DPN;;47.753812;2.476562
160122;92617;;CIVN.SD2;;;;FR;;;;EDF AO;DPN;;46.499055;0.631177
160121;92616;;CIVN.SD1;;;;FR;;;;EDF AO;DPN;;46.48214348695347;0.6493914833138009
160120;92615;;BUGN.SD1;;;;FR;;;;EDF AO;DPN;;45.853074939234986;5.405954762953358
160119;92614;;BELN.SD7;;;;FR;;;;EDF AO;DPN;;48.088222;2.387444
160118;92613;;BELN.SD6;;;;FR;;;;EDF AO;DPN;;47.526056;2.873583
160117;92612;;BELN.SD5;;;;FR;;;;EDF AO;DPN;;47.511718;2.892291
160116;92611;;ROCHEH.U01;;;;FR;;;;EDF AO;EDF HYDRO;;46.223566311429565;0.6817223459333026
160115;92610;;JOURDH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;44.016128;2.712178
160114;92609;;GAMBSH.S02;;;;FR;;;;EDF AO;EDF HYDRO;;48.685573;7.913602
160113;92608;;CROUXH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;43.980193;2.530474
160112;92607;;CLAUXH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;44.87621;6.47907
160111;92606;;CLAUXH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;44.88816533412602;6.44659446431503
160110;92605;;CHON.SD8;;;;FR;;;;EDF AO;EDF HYDRO;;49.82629902139862;4.572918758073135
160109;92604;;AUZERH.U01;;;;FR;;;;EDF AO;EDF HYDRO;;45.35353846920606;2.6666973709339374
160108;92603;;SALONH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;43.632936;5.114922
160107;92602;;CATN.SD1;;;;FR;;;;EDF AO;DPN;;49.43771508800371;6.201222196074513
160106;92601;;GOLFEH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;44.08163;0.979761
160105;92600;;CATN.S1;;;;FR;;;;EDF AO;DPN;;49.406378;6.238493
160104;92599;;NOGN.SD2;;;;FR;;;;EDF AO;DPN;;48.52384758462463;3.594389452775327
160103;92598;;CHBN.SD5;;;;FR;;;;EDF AO;DPN;;47.206496576663696;0.1361273608814863
