IdSite (ne pas modifier);IdSiteTechnique (ne pas modifier);Reference metier;Libelle;Raison sociale;Siret;Adresse;Pays;CodeImb;Ndi;Type Ndi;Tags (tag 1, tag 2,...);"Merci de bien vouloir préciser le nom de la zone de tarification pour chaque accès. Cette dénomination devra être reportée dans les onglets ""Abonnements FTTO"", ""Abonnements FTTE"" et ""Frais de prestations"".
Dans le cas où vous seriez dans l'incapacité de proposer un tarif pour un accès, merci d'indiquer ""Incapacité"".";Unnamed: 3;Latitude;Longitude;Adresse Postale
160176;92671;;SALN.S1;;;;FR;;;;EDF AO;DPN;;45.405329;4.755246;Chemin du Turral, 38550 Saint-Maurice-l'Exil
160175;92670;;QUINSH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;43.69869748886835;6.050729893788097;1558 Chemin de Maudevencet, 04500 Quinson
160174;92669;;P.VARH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;43.854439;7.195276;Adresse non trouvée
160173;92668;;GEDREH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;42.785726;0.018609;10 Rue du pont de Ber, 65120 Gavarnie-Gèdre
160172;92667;;CARLAH.B03;;;;FR;;;;EDF AO;EDF HYDRO;;43.63090605715455;2.2876898177714473;88 Avenue du Sidobre, 81100 Burlats
160171;92666;;BROMMH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;44.80766118344141;2.714734119152471;Adresse non trouvée
160170;92665;;SSJU5H.B01;;;;FR;;;;EDF AO;EDF HYDRO;;43.212223;1.119698;1 La Hille, 31310 Gensac-sur-Garonne
160169;92664;;MATEMH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;42.579615567214454;2.109958156097069;105 Le Barrage, 66210 Matemale
160168;92663;;BAZACH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;43.604706;1.432377;11 Quai Saint Pierre, 31000 Toulouse
160167;92662;;BANCAH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;44.003256;7.13813;5681 Route de la Tinée, 06420 Clans
160166;92661;;B.CURH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;47.406462;3.817114;48 Les Martinets, 89450 Domecy-sur-Cure
160165;92660;;LABA5H.B01;;;;FR;;;;EDF AO;EDF HYDRO;;42.99625874970474;1.6139645446244766;6bis Route Nationale 20, 09000 Foix
160164;92659;;F.ABEH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;42.81728;-0.5624;33 Route du Thezy, 64490 Borce
160163;92658;;CHALAH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;45.669468;3.644039;Route de la Dore, 63480 Marat
160162;92657;;LAZERH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;44.34587;5.86759;1670 Rd 212, 05300 Lazer
160161;92656;;LACOUH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;42.93775;1.17676;15 Route de Guzet, 09200 Lacourt
160160;92655;;BIOGEH.B02;;;;FR;;;;EDF AO;EDF HYDRO;;46.311787;6.562232;715 Route des 3 Becs, 74470 Vailly
160159;92654;;CROUXH.U01;;;;FR;;;;EDF AO;EDF HYDRO;;43.96183;2.78542;325 Route de la Laiterie, 12400 Saint-Affrique
160158;92653;;CHATRH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;45.979879;1.577383;15 Route du Thaurion, 23430 Saint-Pierre-Chérignat
160157;92652;;CAMBEH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;44.654676654999854;2.573526490735423;226 Barrage de Cambeyrac, 12140 Entraygues-sur-Truyère
160156;92651;;B.MONH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;45.03397;4.919981;1125 Route des Peupliers, 26600 Beaumont-Monteux
160155;92650;;AUCUNH.B02;;;;FR;;;;EDF AO;EDF HYDRO;;42.951990501911226;-0.1672610096900589;87 Route du Lac d'Estaing, 65400 Sireix
160154;92649;;ALRANH.U02;;;;FR;;;;EDF AO;EDF HYDRO;;44.088026;3.063912;7a Avenue Marc Corneillan, 12100 Creissels
160153;92648;;A.NORH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;45.262603;4.004175;4 Chemin de la Carderie, 43530 Tiranges
160152;92647;;B.MONH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;45.0199751566639;4.942664769562587;Route des Beaumes, 26300 Châteauneuf-sur-Isère
160151;92646;;ARGENH.B01;;;;FR;;;;EDF AO;EDF HYDRO;;44.852;6.582722;46 Route Nationale de Prelles, 05120 Saint-Martin-de-Queyrières
160150;92645;;MTFERH.B02;;;;FR;;;;EDF AO;EDF HYDRO;;45.832221;2.85311;2 Avenue de Verdun, 63230 Pontgibaud
160149;92644;;CAMP5H.S01;;;;FR;;;;EDF AO;EDF HYDRO;;43.028077;0.171643;9 Route des Cols Residence Edf, 65710 Beaudéan
160148;92643;;PALN.SD2;;;;FR;;;;EDF AO;DPN;;49.853722;0.712478;50ter Rue du Bourgtheroulde, 76460 Saint-Valery-en-Caux
160147;92642;;CRUN.SD2;;;;FR;;;;EDF AO;DPN;;44.600533;4.804124;220 Rue du Plein Sud, 26740 Saint-Marcel-lès-Sauzet
160146;92641;;RENART.S01;;;;FR;;;;EDF AO;DTEAM;;48.37488637554868;2.8438130238971486;1 Chemin des Coutures, 77250 Moret-Loing-et-Orvanne
160145;92640;;BREVIH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;45.50388519238788;6.925281131335059;520 Allée du Géant, 73320 Tignes
160144;92639;;TRIN.S1;;;;FR;;;;EDF AO;DPN;;44.326163;4.729734;4502 Route du Site de Tricastin, 26130 Saint-Paul-Trois-Châteaux
160143;92638;;FESD.S1;;;;FR;;;;EDF AO;DP2D;;47.90478636962378;7.560723753345957;D 52, 68740 Fessenheim
160142;92637;;PALN.S1;;;;FR;;;;EDF AO;DPN;;49.85833172672017;0.6350540451110134;Route de Saint-Valéry, 76450 Paluel
160141;92636;;GOLN.S1;;;;FR;;;;EDF AO;DPN;;44.10544185735542;0.8459771401444298;Avenue du Midi, 82400 Golfech
160140;92635;;BAROET.S01;;;;FR;;;;EDF AO;DTEAM;;50.662644;3.075145;125 Rue Nationale, 59700 Marcq-en-Barœul
160139;92634;;VELHUH.U01;;;;FR;;;;EDF AO;EDF HYDRO;;45.758963;4.855993;9 Rue des Cuirassiers, 69003 Lyon
160138;92633;;SISTEH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;44.211544;5.921827;19 Chemin de la Maubuissonne, 04200 Sisteron
160137;92632;;MTEZIH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;44.73747245059322;2.6434999531815597;Adresse non trouvée
160136;92631;;DAMN.S1;;;;FR;;;;EDF AO;DPN;;47.73260958888363;2.5178020839482533;D 953, 45570 Dampierre-en-Burly
160135;92630;;CIVN.S1;;;;FR;;;;EDF AO;DPN;;46.46184862039044;0.6489888269771557;Adresse non trouvée
160134;92629;;CHON.S1;;;;FR;;;;EDF AO;DPN;;50.09035082961692;4.789598855212924;Chemin de Mission, 08600 Chooz
160133;92628;;CHBN.S1;;;;FR;;;;EDF AO;DPN;;47.227773551061055;0.1684450742249638;Chemin des Arpents, 37420 Avoine
160132;92627;;BELN.S1;;;;FR;;;;EDF AO;DPN;;47.50885169706019;2.8757187262679853;Chemin des Vaux, 18240 Belleville-sur-Loire
160131;92626;;REVI5H.S01;;;;FR;;;;EDF AO;EDF HYDRO;;49.92822529798334;4.617602641217044;4 Saint Nicolas, 08500 Rocroi
160130;92625;;BORTH.S01;;;;FR;;;;EDF AO;EDF HYDRO;;45.412391;2.500149;1141 Avenue Victor Hugo, 19110 Bort-les-Orgues
160129;92624;;VELHUT.S01;;;;FR;;;;EDF AO;DTEAM;;45.758963;4.855993;9 Rue des Cuirassiers, 69003 Lyon
160128;92623;;FESD.SD1;;;;FR;;;;EDF AO;DP2D;;47.933953;7.568142;9 Rue du Canal d’Alsace, 68740 Nambsheim
160127;92622;;FLAN.SD2;;;;FR;;;;EDF AO;DPN;;49.550925097789474;-1.85661325075966;2 Dielette, 50340 Tréauville
160126;92621;;DAMN.SD4;;;;FR;;;;EDF AO;DPN;;47.74392;2.512796;596 Route des Sablons, 45570 Dampierre-en-Burly
160125;92620;;DAMN.SD3;;;;FR;;;;EDF AO;DPN;;47.725286;2.500121;Route de Gien, 45600 Lion-en-Sullias
160124;92619;;DAMN.SD2;;;;FR;;;;EDF AO;DPN;;47.727412;2.533343;D 953, 45570 Dampierre-en-Burly
